15_1_5,15_1_10,15_1_20,15_1_50,15_1_100,15_1_1000,16_1_5,16_1_10,16_1_20,16_1_50,16_1_100,16_1_1000,15_3_5,15_3_10,15_3_20,15_3_50,15_3_100,15_3_1000
,,-15,-14.5,-13.8,-12.6,,,-15.7,-15.5,-15,-13.8,,,-15.5,-13.2,-12.1,-7.95
,,-15.1,-14.6,-13.9,-12.6,,,-15.8,-15.5,-15,-13.9,,,-16,-13.6,-12.4,-8.03
,,-15.2,-14.6,-13.9,-12.6,,,-16.1,-15.6,-15.2,-13.9,,,-16.2,-13.7,-12.4,-8.22
,,-15.3,-14.6,-13.9,-12.6,,,-16.3,-15.6,-15.2,-13.9,,,-16.2,-14,-12.6,-8.39
,,-15.4,-14.7,-14,-12.7,,,-16.4,-15.7,-15.2,-13.9,,,-16.4,-14.3,-12.7,-8.46
,,-15.7,-14.7,-14,-12.7,,,-16.5,-15.7,-15.3,-13.9,,,-16.6,-14.3,-12.7,-8.5
,,-15.9,-14.7,-14,-12.8,,,-16.8,-15.8,-15.3,-13.9,,,-18.2,-14.7,-12.8,-8.61
,,-16.7,-14.7,-14.1,-12.8,,,-17.5,-15.8,-15.3,-13.9,,,-18.4,-14.7,-12.8,-8.62
,,,-14.8,-14.1,-12.8,,,,-15.9,-15.3,-14,,,,-14.8,-12.9,-8.7
,,,-14.9,-14.2,-12.8,,,,-15.9,-15.4,-14,,,,-14.8,-13,-8.94
,,,-14.9,-14.2,-12.8,,,,-15.9,-15.4,-14,,,,-14.8,-13.1,-8.97
,,,-14.9,-14.3,-12.8,,,,-15.9,-15.4,-14,,,,-15,-13.1,-8.97
,,,-15.1,-14.3,-12.8,,,,-15.9,-15.5,-14,,,,-15.1,-13.1,-8.99
,,,-15.1,-14.4,-12.8,,,,-16,-15.5,-14.1,,,,-15.2,-13.3,-9.03
,,,-15.2,-14.4,-12.9,,,,-16,-15.5,-14.1,,,,-15.3,-13.3,-9.04
,,,-15.2,-14.6,-12.9,,,,-16,-15.5,-14.1,,,,-15.5,-13.3,-9.04
,,,-15.2,-14.6,-12.9,,,,-16.1,-15.5,-14.1,,,,-15.6,-13.5,-9.09
,,,-15.3,-14.6,-12.9,,,,-16.1,-15.6,-14.2,,,,-15.7,-13.5,-9.1
,,,-15.3,-14.7,-12.9,,,,-16.1,-15.6,-14.2,,,,-16.1,-13.5,-9.16
,,,-15.3,-14.7,-12.9,,,,-16.1,-15.6,-14.2,,,,-16.2,-13.5,-9.18
,,,-15.4,-14.7,-13,,,,-16.2,-15.6,-14.2,,,,-16.2,-13.5,-9.2
,,,-15.5,-14.8,-13,,,,-16.3,-15.7,-14.2,,,,-16.2,-13.6,-9.24
,,,-15.5,-14.8,-13,,,,-16.4,-15.7,-14.2,,,,-16.4,-13.6,-9.31
,,,-15.5,-14.8,-13,,,,-16.5,-15.7,-14.3,,,,-16.6,-13.6,-9.34
,,,-15.6,-14.8,-13,,,,-16.5,-15.7,-14.3,,,,-17.2,-13.6,-9.39
,,,-15.7,-14.9,-13,,,,-16.5,-15.7,-14.3,,,,-17.6,-13.8,-9.42
,,,-15.8,-14.9,-13,,,,-16.6,-15.9,-14.3,,,,-17.6,-13.9,-9.46
,,,-16,-14.9,-13,,,,-16.6,-15.9,-14.3,,,,-17.9,-13.9,-9.48
,,,-16.1,-15,-13,,,,-16.6,-15.9,-14.3,,,,-18,-14.1,-9.52
,,,-16.1,-15,-13.1,,,,-16.7,-15.9,-14.3,,,,-18.1,-14.2,-9.56
,,,-16.2,-15.1,-13.1,,,,-16.9,-16,-14.3,,,,-18.6,-14.2,-9.61
,,,-16.3,-15.1,-13.1,,,,-16.9,-16,-14.3,,,,-18.8,-14.4,-9.62
,,,-16.4,-15.1,-13.1,,,,-17,-16,-14.4,,,,-19.2,-14.4,-9.74
,,,-16.4,-15.1,-13.2,,,,-17.2,-16,-14.4,,,,-19.4,-14.4,-9.77
,,,-16.5,-15.2,-13.2,,,,-17.5,-16.1,-14.4,,,,-19.7,-14.7,-9.77
,,,-16.7,-15.2,-13.2,,,,-18,-16.1,-14.4,,,,-19.8,-14.7,-9.78
,,,-16.7,-15.2,-13.2,,,,-18.5,-16.1,-14.4,,,,-21.3,-14.8,-9.78
,,,-17,-15.2,-13.2,,,,-18.5,-16.2,-14.4,,,,-22.7,-14.9,-9.8
,,,,-15.2,-13.2,,,,,-16.2,-14.4,,,,,-14.9,-9.82
,,,,-15.2,-13.2,,,,,-16.2,-14.4,,,,,-15,-9.86
,,,,-15.2,-13.2,,,,,-16.3,-14.4,,,,,-15,-9.88
,,,,-15.2,-13.2,,,,,-16.3,-14.4,,,,,-15,-9.9
,,,,-15.3,-13.2,,,,,-16.3,-14.4,,,,,-15.4,-9.97
,,,,-15.3,-13.2,,,,,-16.3,-14.4,,,,,-15.4,-9.98
,,,,-15.3,-13.3,,,,,-16.3,-14.4,,,,,-15.4,-10
,,,,-15.3,-13.3,,,,,-16.4,-14.5,,,,,-15.5,-10
,,,,-15.4,-13.3,,,,,-16.4,-14.5,,,,,-15.6,-10.1
,,,,-15.4,-13.3,,,,,-16.4,-14.5,,,,,-15.7,-10.1
,,,,-15.4,-13.3,,,,,-16.4,-14.5,,,,,-15.7,-10.2
,,,,-15.4,-13.3,,,,,-16.4,-14.5,,,,,-15.7,-10.2
,,,,-15.5,-13.3,,,,,-16.5,-14.5,,,,,-16,-10.2
,,,,-15.5,-13.3,,,,,-16.5,-14.5,,,,,-16,-10.2
,,,,-15.5,-13.3,,,,,-16.5,-14.5,,,,,-16.1,-10.3
,,,,-15.5,-13.3,,,,,-16.5,-14.5,,,,,-16.1,-10.3
,,,,-15.5,-13.4,,,,,-16.6,-14.5,,,,,-16.3,-10.4
,,,,-15.5,-13.4,,,,,-16.6,-14.5,,,,,-16.7,-10.4
,,,,-15.6,-13.4,,,,,-16.6,-14.6,,,,,-16.8,-10.4
,,,,-15.6,-13.4,,,,,-16.7,-14.6,,,,,-16.8,-10.4
,,,,-15.6,-13.4,,,,,-16.7,-14.6,,,,,-17,-10.5
,,,,-15.6,-13.4,,,,,-16.7,-14.6,,,,,-17.2,-10.5
,,,,-15.7,-13.4,,,,,-16.8,-14.6,,,,,-17.3,-10.6
,,,,-15.7,-13.4,,,,,-16.9,-14.6,,,,,-17.3,-10.6
,,,,-15.8,-13.4,,,,,-16.9,-14.6,,,,,-17.3,-10.6
,,,,-15.8,-13.4,,,,,-16.9,-14.6,,,,,-17.5,-10.6
,,,,-15.8,-13.4,,,,,-16.9,-14.6,,,,,-17.5,-10.6
,,,,-15.8,-13.4,,,,,-16.9,-14.6,,,,,-17.5,-10.7
,,,,-15.8,-13.4,,,,,-17,-14.6,,,,,-17.8,-10.7
,,,,-15.9,-13.5,,,,,-17,-14.6,,,,,-17.9,-10.7
,,,,-15.9,-13.5,,,,,-17,-14.6,,,,,-18,-10.7
,,,,-15.9,-13.5,,,,,-17,-14.7,,,,,-18.1,-10.7
,,,,-15.9,-13.5,,,,,-17.1,-14.7,,,,,-18.1,-10.8
,,,,-15.9,-13.5,,,,,-17.2,-14.7,,,,,-18.1,-10.8
,,,,-16,-13.5,,,,,-17.3,-14.7,,,,,-18.2,-10.8
,,,,-16,-13.5,,,,,-17.3,-14.7,,,,,-18.3,-10.8
,,,,-16,-13.5,,,,,-17.3,-14.7,,,,,-18.3,-10.8
,,,,-16.1,-13.5,,,,,-17.4,-14.7,,,,,-18.4,-10.8
,,,,-16.1,-13.5,,,,,-17.4,-14.7,,,,,-18.5,-10.8
,,,,-16.2,-13.5,,,,,-17.4,-14.7,,,,,-18.5,-10.8
,,,,-16.3,-13.5,,,,,-17.6,-14.7,,,,,-18.7,-10.8
,,,,-16.3,-13.5,,,,,-17.6,-14.7,,,,,-19,-10.8
,,,,-16.5,-13.5,,,,,-17.6,-14.7,,,,,-19,-10.8
,,,,-16.7,-13.5,,,,,-17.6,-14.7,,,,,-19.3,-10.9
,,,,-16.8,-13.5,,,,,-17.7,-14.7,,,,,-19.3,-10.9
,,,,-17,-13.5,,,,,-17.8,-14.7,,,,,-19.8,-11
,,,,-17.1,-13.5,,,,,-17.9,-14.7,,,,,-19.8,-11
,,,,-17.3,-13.5,,,,,-18,-14.7,,,,,-19.9,-11
,,,,-17.6,-13.5,,,,,-18.3,-14.7,,,,,-20.7,-11
,,,,-18.3,-13.6,,,,,-18.3,-14.7,,,,,-21.8,-11.1
,,,,,-13.6,,,,,,-14.7,,,,,,-11.1
,,,,,-13.6,,,,,,-14.7,,,,,,-11.1
,,,,,-13.6,,,,,,-14.8,,,,,,-11.1
,,,,,-13.6,,,,,,-14.8,,,,,,-11.1
,,,,,-13.6,,,,,,-14.8,,,,,,-11.2
,,,,,-13.6,,,,,,-14.8,,,,,,-11.2
,,,,,-13.6,,,,,,-14.8,,,,,,-11.2
,,,,,-13.6,,,,,,-14.8,,,,,,-11.2
,,,,,-13.6,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.3
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.4
,,,,,-13.7,,,,,,-14.8,,,,,,-11.5
,,,,,-13.7,,,,,,-14.8,,,,,,-11.5
,,,,,-13.7,,,,,,-14.8,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.5
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.8,,,,,,-14.9,,,,,,-11.6
,,,,,-13.9,,,,,,-14.9,,,,,,-11.6
,,,,,-13.9,,,,,,-14.9,,,,,,-11.6
,,,,,-13.9,,,,,,-14.9,,,,,,-11.6
,,,,,-13.9,,,,,,-14.9,,,,,,-11.7
,,,,,-13.9,,,,,,-14.9,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.7
,,,,,-13.9,,,,,,-15,,,,,,-11.8
,,,,,-13.9,,,,,,-15,,,,,,-11.8
,,,,,-13.9,,,,,,-15,,,,,,-11.8
,,,,,-13.9,,,,,,-15,,,,,,-11.8
,,,,,-13.9,,,,,,-15,,,,,,-11.9
,,,,,-13.9,,,,,,-15,,,,,,-11.9
,,,,,-13.9,,,,,,-15,,,,,,-11.9
,,,,,-13.9,,,,,,-15,,,,,,-11.9
,,,,,-13.9,,,,,,-15,,,,,,-11.9
,,,,,-13.9,,,,,,-15.1,,,,,,-11.9
,,,,,-13.9,,,,,,-15.1,,,,,,-11.9
,,,,,-13.9,,,,,,-15.1,,,,,,-11.9
,,,,,-13.9,,,,,,-15.1,,,,,,-11.9
,,,,,-14,,,,,,-15.1,,,,,,-11.9
,,,,,-14,,,,,,-15.1,,,,,,-11.9
,,,,,-14,,,,,,-15.1,,,,,,-11.9
,,,,,-14,,,,,,-15.1,,,,,,-11.9
,,,,,-14,,,,,,-15.1,,,,,,-11.9
,,,,,-14,,,,,,-15.1,,,,,,-12
,,,,,-14,,,,,,-15.1,,,,,,-12
,,,,,-14,,,,,,-15.1,,,,,,-12
,,,,,-14,,,,,,-15.1,,,,,,-12
,,,,,-14,,,,,,-15.1,,,,,,-12
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14,,,,,,-15.1,,,,,,-12.1
,,,,,-14.1,,,,,,-15.1,,,,,,-12.1
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.1,,,,,,-12.2
,,,,,-14.1,,,,,,-15.2,,,,,,-12.2
,,,,,-14.1,,,,,,-15.2,,,,,,-12.2
,,,,,-14.1,,,,,,-15.2,,,,,,-12.2
,,,,,-14.1,,,,,,-15.2,,,,,,-12.2
,,,,,-14.1,,,,,,-15.2,,,,,,-12.2
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.3
,,,,,-14.1,,,,,,-15.2,,,,,,-12.4
,,,,,-14.1,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.2,,,,,,-12.4
,,,,,-14.2,,,,,,-15.3,,,,,,-12.4
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.5
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.2,,,,,,-15.3,,,,,,-12.6
,,,,,-14.3,,,,,,-15.3,,,,,,-12.6
,,,,,-14.3,,,,,,-15.3,,,,,,-12.6
,,,,,-14.3,,,,,,-15.3,,,,,,-12.6
,,,,,-14.3,,,,,,-15.3,,,,,,-12.7
,,,,,-14.3,,,,,,-15.3,,,,,,-12.7
,,,,,-14.3,,,,,,-15.3,,,,,,-12.7
,,,,,-14.3,,,,,,-15.3,,,,,,-12.7
,,,,,-14.3,,,,,,-15.3,,,,,,-12.7
,,,,,-14.3,,,,,,-15.3,,,,,,-12.8
,,,,,-14.3,,,,,,-15.3,,,,,,-12.8
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-12.9
,,,,,-14.3,,,,,,-15.3,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13
,,,,,-14.3,,,,,,-15.4,,,,,,-13.1
,,,,,-14.3,,,,,,-15.4,,,,,,-13.1
,,,,,-14.4,,,,,,-15.4,,,,,,-13.1
,,,,,-14.4,,,,,,-15.4,,,,,,-13.1
,,,,,-14.4,,,,,,-15.4,,,,,,-13.1
,,,,,-14.4,,,,,,-15.4,,,,,,-13.1
,,,,,-14.4,,,,,,-15.4,,,,,,-13.1
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.2
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.4,,,,,,-13.3
,,,,,-14.4,,,,,,-15.5,,,,,,-13.3
,,,,,-14.4,,,,,,-15.5,,,,,,-13.3
,,,,,-14.4,,,,,,-15.5,,,,,,-13.3
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.4
,,,,,-14.4,,,,,,-15.5,,,,,,-13.5
,,,,,-14.4,,,,,,-15.5,,,,,,-13.5
,,,,,-14.4,,,,,,-15.5,,,,,,-13.5
,,,,,-14.5,,,,,,-15.5,,,,,,-13.5
,,,,,-14.5,,,,,,-15.5,,,,,,-13.5
,,,,,-14.5,,,,,,-15.5,,,,,,-13.5
,,,,,-14.5,,,,,,-15.5,,,,,,-13.5
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.6
,,,,,-14.5,,,,,,-15.5,,,,,,-13.7
,,,,,-14.5,,,,,,-15.5,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.7
,,,,,-14.5,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.8
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-13.9
,,,,,-14.6,,,,,,-15.6,,,,,,-14
,,,,,-14.6,,,,,,-15.6,,,,,,-14
,,,,,-14.6,,,,,,-15.7,,,,,,-14
,,,,,-14.6,,,,,,-15.7,,,,,,-14
,,,,,-14.6,,,,,,-15.7,,,,,,-14
,,,,,-14.6,,,,,,-15.7,,,,,,-14
,,,,,-14.6,,,,,,-15.7,,,,,,-14
,,,,,-14.7,,,,,,-15.7,,,,,,-14
,,,,,-14.7,,,,,,-15.7,,,,,,-14
,,,,,-14.7,,,,,,-15.7,,,,,,-14
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
,,,,,-14.7,,,,,,-15.7,,,,,,-14.1
